"Date_Sampled","Sample_No","Subsite_Code","Zone","Result","Units"
2018-12-12,5889490,"090B07","Dunolly",0.1,"NTU"
2018-12-12,5889506,"090C01","Tarnagulla",0.1,"NTU"
2018-11-21,5847955,"090D03","Bealiba",0.3,"NTU"
2018-06-14,5582196,"090C03","Tarnagulla",0.1,"NTU"
2018-08-15,5734990,"090B03","Dunolly",0.1,"NTU"
2018-08-15,5734989,"090A01","Laanecoorie",0.5,"NTU"
2018-08-15,5734999,"090D01","Bealiba",0.1,"NTU"
2019-05-15,6075625,"090C01","Tarnagulla",0.05,"NTU"
2017-06-21,5198968,"090A04","Laanecoorie",0.5,"NTU"
2017-11-08,5385530,"090C01","Tarnagulla",0.2,"NTU"
2017-06-08,5198457,"090B02","Dunolly",0.2,"NTU"
2017-05-17,5174338,"090D01","Bealiba",0.1,"NTU"
2017-02-01,5039119,"090A03","Laanecoorie",0.1,"NTU"
2019-03-14,5987648,"090B08","Dunolly",0.1,"NTU"
2017-02-08,5039729,"090B09","Dunolly",0.2,"NTU"
2019-03-20,5987957,"090C01","Tarnagulla",0.2,"NTU"
2019-03-27,5988225,"090B04","Dunolly",0.2,"NTU"
2019-03-20,5987956,"090B06","Dunolly",0.3,"NTU"
2019-05-08,6075371,"090A04","Laanecoorie",0.2,"NTU"
2019-03-27,5988224,"090A04","Laanecoorie",0.2,"NTU"
2019-03-27,5988226,"090C03","Tarnagulla",0.2,"NTU"
2019-03-20,5987958,"090D01","Bealiba",0.2,"NTU"
2019-03-27,5988227,"090D02","Bealiba",0.2,"NTU"
2019-05-08,6075373,"090C02","Tarnagulla",0.1,"NTU"
2019-05-08,6075374,"090D07","Bealiba",0.2,"NTU"
2017-01-25,5019630,"090C02","Tarnagulla",0.3,"NTU"
2017-01-25,5019616,"090A04","Laanecoorie",0.2,"NTU"
2017-08-30,5281713,"090C04","Tarnagulla",0.2,"NTU"
2017-08-09,5281047,"090C01","Tarnagulla",0.2,"NTU"
2017-02-22,5040280,"090A03","Laanecoorie",0.3,"NTU"
2017-02-22,5040294,"090C01","Tarnagulla",0.2,"NTU"
2017-02-22,5040293,"090B02","Dunolly",0.2,"NTU"
2017-03-16,5093216,"090B05","Dunolly",0.2,"NTU"
2017-06-15,5198717,"090C03","Tarnagulla",0.3,"NTU"
2017-03-16,5093229,"090C02","Tarnagulla",0.2,"NTU"
2017-06-15,5198716,"090B03","Dunolly",0.2,"NTU"
2017-06-15,5198718,"090D07","Bealiba",0.2,"NTU"
2017-03-08,5092952,"090A03","Laanecoorie",0.1,"NTU"
2017-05-03,5172051,"090C01","Tarnagulla",0.3,"NTU"
2017-03-29,5093703,"090C01","Tarnagulla",0.2,"NTU"
2017-05-03,5172050,"090B06","Dunolly",0.1,"NTU"
2017-04-27,5132718,"090B02","Dunolly",0.2,"NTU"
2017-04-05,5131065,"090B01","Dunolly",0.2,"NTU"
2017-04-05,5131033,"090A01","Laanecoorie",0.5,"NTU"
2017-04-05,5131069,"090D01","Bealiba",0.1,"NTU"
2017-04-05,5131067,"090C02","Tarnagulla",0.2,"NTU"
2017-08-16,5281310,"090A04","Laanecoorie",0.3,"NTU"
2017-08-16,5281319,"090D03","Bealiba",0.1,"NTU"
2017-08-09,5281045,"090A01","Laanecoorie",0.2,"NTU"
2017-11-22,5386162,"090D08","Bealiba",0.05,"NTU"
2017-11-22,5386159,"090A01","Laanecoorie",0.4,"NTU"
2017-11-22,5386161,"090C03","Tarnagulla",0.2,"NTU"
2017-11-08,5385529,"090B04","Dunolly",0.2,"NTU"
2017-09-06,5281960,"090B04","Dunolly",0.2,"NTU"
2017-09-06,5281961,"090C01","Tarnagulla",0.2,"NTU"
2017-09-20,5282587,"090B05","Dunolly",0.1,"NTU"
2017-09-20,5282589,"090D01","Bealiba",0.1,"NTU"
2017-09-20,5282586,"090A04","Laanecoorie",0.2,"NTU"
2017-12-27,5387568,"090A01","Laanecoorie",0.3,"NTU"
2017-11-28,5386383,"090C01","Tarnagulla",0.2,"NTU"
2018-01-04,5457128,"090D08","Bealiba",0.05,"NTU"
2017-11-15,5385842,"090B01","Dunolly",0.1,"NTU"
2017-11-22,5386160,"090B05","Dunolly",0.1,"NTU"
2017-11-15,5385843,"090C04","Tarnagulla",0.2,"NTU"
2017-11-28,5386384,"090D02","Bealiba",0.1,"NTU"
2018-01-10,5457391,"090C02","Tarnagulla",0.2,"NTU"
2017-11-15,5385840,"090A05","Laanecoorie",0.3,"NTU"
2017-10-11,5343940,"090B09","Dunolly",0.1,"NTU"
2017-10-11,5343942,"090D03","Bealiba",0.05,"NTU"
2017-12-06,5386689,"090D01","Bealiba",0.05,"NTU"
2019-01-23,5923879,"090D07","Bealiba",0.3,"NTU"
2018-01-24,5457895,"090D02","Bealiba",0.1,"NTU"
2018-01-24,5457892,"090A02","Laanecoorie",0.1,"NTU"
2018-01-24,5457894,"090C03","Tarnagulla",0.2,"NTU"
2018-05-16,5581424,"090C02","Tarnagulla",0.2,"NTU"
2018-05-16,5581418,"090B04","Dunolly",0.2,"NTU"
2018-05-16,5581425,"090D03","Bealiba",0.1,"NTU"
2018-04-18,5580528,"090B09","Dunolly",0.1,"NTU"
2018-04-26,5580766,"090A03","Laanecoorie",0.3,"NTU"
2018-03-09,5569723,"090D03","Bealiba",0.05,"NTU"
2018-05-09,5581169,"090A02","Laanecoorie",0.2,"NTU"
2018-03-28,5596579,"090B05","Dunolly",0.05,"NTU"
2018-03-28,5596574,"090A04","Laanecoorie",0.05,"NTU"
2018-03-15,5472306,"090D07","Bealiba",0.05,"NTU"
2018-03-09,5460723,"090A05","Laanecoorie",0.1,"NTU"
2018-03-15,5577886,"090B04","Dunolly",0.1,"NTU"
2018-04-26,5580768,"090C01","Tarnagulla",0.2,"NTU"
2018-04-05,5605607,"090C01","Tarnagulla",0.05,"NTU"
2018-06-20,5589253,"090D02","Bealiba",0.1,"NTU"
2018-06-20,5589250,"090A05","Laanecoorie",0.3,"NTU"
2018-06-20,5589251,"090B09","Dunolly",0.2,"NTU"
2018-04-05,5605608,"090D02","Bealiba",0.05,"NTU"
2018-04-05,5579969,"090A02","Laanecoorie",0.05,"NTU"
2018-04-05,5579970,"090B07","Dunolly",0.1,"NTU"
2018-06-27,5605794,"090D03","Bealiba",0.2,"NTU"
2018-05-23,5581625,"090B01","Dunolly",0.2,"NTU"
2018-05-23,5581627,"090D07","Bealiba",0.2,"NTU"
2018-05-23,5581624,"090A01","Laanecoorie",1.5,"NTU"
2018-05-23,5581626,"090C03","Tarnagulla",0.1,"NTU"
2018-01-31,5459469,"090B07","Dunolly",0.1,"NTU"
2018-10-24,5798884,"090B09","Dunolly",0.2,"NTU"
2018-10-24,5798883,"090A03","Laanecoorie",0.2,"NTU"
2018-10-24,5798885,"090C01","Tarnagulla",0.3,"NTU"
2018-11-01,5799129,"090C03","Tarnagulla",0.2,"NTU"
2018-11-21,5847945,"090C02","Tarnagulla",0.2,"NTU"
2018-11-07,5847254,"090A04","Laanecoorie",0.2,"NTU"
2018-11-07,5847267,"090D02","Bealiba",0.1,"NTU"
2018-11-01,5799128,"090B02","Dunolly",0.1,"NTU"
2018-11-14,5847623,"090A05","Laanecoorie",0.2,"NTU"
2018-11-07,5847266,"090C04","Tarnagulla",0.2,"NTU"
2019-05-15,6075624,"090B08","Dunolly",0.1,"NTU"
2018-09-05,5765903,"090B08","Dunolly",0.1,"NTU"
2018-11-21,5847943,"090A02","Laanecoorie",0.1,"NTU"
2018-03-28,5491376,"090C02","Tarnagulla",0.1,"NTU"
2018-06-14,5582197,"090D07","Bealiba",0.3,"NTU"
2018-08-15,5734998,"090C04","Tarnagulla",0.1,"NTU"
2019-01-16,5923623,"090A04","Laanecoorie",0.1,"NTU"
2019-01-16,5923634,"090D02","Bealiba",0.1,"NTU"
2017-11-02,5385245,"090C02","Tarnagulla",0.2,"NTU"
2017-11-02,5385246,"090D07","Bealiba",0.1,"NTU"
2017-11-02,5385244,"090B08","Dunolly",0.1,"NTU"
2017-11-02,5385243,"090A03","Laanecoorie",0.2,"NTU"
2018-10-03,5797980,"090A03","Laanecoorie",0.2,"NTU"
2018-10-03,5797983,"090D02","Bealiba",0.3,"NTU"
2017-06-21,5198971,"090D03","Bealiba",0.1,"NTU"
2017-06-28,5199171,"090C04","Tarnagulla",0.2,"NTU"
2017-06-28,5264387,"090A01","Laanecoorie",0.3,"NTU"
2017-06-21,5198970,"090C02","Tarnagulla",0.2,"NTU"
2017-06-21,5198969,"090B06","Dunolly",0.4,"NTU"
2017-02-15,5040036,"090C04","Tarnagulla",0.2,"NTU"
2019-01-31,5924107,"090C02","Tarnagulla",0.2,"NTU"
2019-04-10,6026267,"090A02","Laanecoorie",0.5,"NTU"
2019-02-06,5942643,"090A03","Laanecoorie",0.2,"NTU"
2017-02-08,5039730,"090C03","Tarnagulla",0.2,"NTU"
2017-02-08,5039728,"090A04","Laanecoorie",0.2,"NTU"
2019-02-06,5942654,"090D08","Bealiba",0.2,"NTU"
2019-03-14,5987647,"090A03","Laanecoorie",0.1,"NTU"
2019-02-06,5942652,"090B05","Dunolly",0.1,"NTU"
2019-02-27,5943732,"090B09","Dunolly",0.1,"NTU"
2019-03-06,5987349,"090A02","Laanecoorie",0.4,"NTU"
2019-03-06,5987350,"090B02","Dunolly",0.3,"NTU"
2017-08-23,5281542,"090B06","Dunolly",0.2,"NTU"
2017-08-09,5281046,"090B03","Dunolly",0.2,"NTU"
2017-04-20,5132389,"090B09","Dunolly",0.1,"NTU"
2017-04-20,5132390,"090C04","Tarnagulla",0.1,"NTU"
2017-05-31,5174352,"090B09","Dunolly",0.2,"NTU"
2017-05-31,5174353,"090C02","Tarnagulla",0.2,"NTU"
2017-03-01,5092692,"090A04","Laanecoorie",0.1,"NTU"
2017-05-31,5174354,"090D07","Bealiba",0.1,"NTU"
2017-05-31,5174351,"090A02","Laanecoorie",0.2,"NTU"
2017-03-29,5093702,"090B08","Dunolly",0.2,"NTU"
2017-08-16,5281318,"090C03","Tarnagulla",0.3,"NTU"
2017-08-30,5281712,"090B08","Dunolly",0.2,"NTU"
2017-08-30,5281714,"090D02","Bealiba",0.1,"NTU"
2018-01-04,5457127,"090C03","Tarnagulla",0.2,"NTU"
2017-12-20,5387302,"090C04","Tarnagulla",0.2,"NTU"
2018-01-04,5457126,"090B08","Dunolly",0.1,"NTU"
2018-01-04,5457125,"090A04","Laanecoorie",0.2,"NTU"
2017-12-20,5387301,"090B02","Dunolly",0.2,"NTU"
2017-12-20,5387300,"090A05","Laanecoorie",0.3,"NTU"
2017-11-15,5385845,"090D03","Bealiba",0.05,"NTU"
2017-10-18,5344235,"090A01","Laanecoorie",0.7,"NTU"
2017-10-18,5344238,"090D08","Bealiba",0.05,"NTU"
2017-10-18,5344237,"090C04","Tarnagulla",0.2,"NTU"
2017-10-18,5344236,"090B02","Dunolly",0.1,"NTU"
2017-10-11,5343941,"090C02","Tarnagulla",0.2,"NTU"
2019-01-23,5923876,"090A05","Laanecoorie",0.4,"NTU"
2019-01-23,5923877,"090B04","Dunolly",0.2,"NTU"
2018-07-11,5690574,"090D01","Bealiba",0.2,"NTU"
2018-07-11,5690573,"090C01","Tarnagulla",0.1,"NTU"
2018-07-04,5690252,"090A03","Laanecoorie",0.1,"NTU"
2018-09-19,5766481,"090C03","Tarnagulla",0.1,"NTU"
2018-12-19,5889872,"090D07","Bealiba",0.2,"NTU"
2019-01-03,5923065,"090B02","Dunolly",0.2,"NTU"
2018-02-14,5460008,"090C02","Tarnagulla",0.2,"NTU"
2018-02-07,5459745,"090C01","Tarnagulla",0.2,"NTU"
2018-12-27,5890122,"090A02","Laanecoorie",0.1,"NTU"
2018-09-05,5765904,"090C04","Tarnagulla",0.1,"NTU"
2018-10-24,5798895,"090D01","Bealiba",0.1,"NTU"
2018-06-08,5581954,"090A04","Laanecoorie",0.2,"NTU"
2018-06-08,5581956,"090C02","Tarnagulla",0.2,"NTU"
2018-06-08,5581957,"090D01","Bealiba",0.4,"NTU"
2018-06-08,5581955,"090B07","Dunolly",0.2,"NTU"
2018-10-17,5798554,"090C03","Tarnagulla",0.2,"NTU"
2018-10-17,5798555,"090D08","Bealiba",0.2,"NTU"
2018-10-17,5798553,"090B03","Dunolly",0.2,"NTU"
2018-10-17,5798552,"090A02","Laanecoorie",0.2,"NTU"
2017-06-08,5198466,"090C01","Tarnagulla",0.2,"NTU"
2017-11-08,5385528,"090A02","Laanecoorie",0.2,"NTU"
2017-06-08,5198468,"090D01","Bealiba",0.1,"NTU"
2017-01-18,5019355,"090D01","Bealiba",0.1,"NTU"
2017-06-08,5198456,"090A01","Laanecoorie",0.7,"NTU"
2017-01-18,5019354,"090C03","Tarnagulla",0.2,"NTU"
2019-03-06,5987352,"090D03","Bealiba",0.3,"NTU"
2019-04-26,6027093,"090D01","Bealiba",0.1,"NTU"
2019-02-20,5943471,"090A04","Laanecoorie",0.2,"NTU"
2019-04-17,6026662,"090B07","Dunolly",0.2,"NTU"
